pair,pool,volume,vol_rank,Volume Share,tvl,tvl_rank,TVL Share,Fee Earned,fee_rank,Fee Share,Fee/TVL,apy,0.05_fee_total,0.3_fee_total,0.01_fee_total,1_fee_total,daily_volume,time,total_volume,Pool-Name,running_total_by_pool
WETH-MKR 0.3%,"<a href=""https://info.uniswap.org/#/pools/0xe8c6c9227491c0a8156a0106a0204d881bb7e531"" target=""_blank"">🔗🦄 0xe8c6...e531</a>",1142288812.2981496,40.,0.0013456671013988,7531514.233217139,21.,0.0057964145692843,3426866.436894449,52.,0.0025831247097644,45.50036461168101,0.2208461846178665,,3426866.436894449,,,18399364.30189503,2021-06-13T00:00:00+00:00,183336454.46354932,DAI / ETH 0.05% fee,183336454.46354935
WBTC-USDC 0.05%,"<a href=""https://info.uniswap.org/#/pools/0x9a772018fbd77fcd2d25657e5c547baff3fd7d16"" target=""_blank"">🔗🦄 0x9a77...7d16</a>",1108362996.6855536,41.,0.0013057009794632,20480279.0346544,12.,0.0157620611345204,554181.4983427768,206.,0.0004177343787465,2.7059274798212165,0.0131338235390258,554181.4983427768,,,,24106067.558668807,2021-06-14T00:00:00+00:00,207442522.02221817,DAI / ETH 0.05% fee,207442522.02221817
AGLD-WETH 1%,"<a href=""https://info.uniswap.org/#/pools/0x5d752f322befb038991579972e912b02f61a3dda"" target=""_blank"">🔗🦄 0x5d75...3dda</a>",1104174494.8351586,42.,0.0013007667377167,3628.57817938296,812.,2.792631438177388e-06,11041744.948351584,19.,0.0083231152250135,304299.4914947439,1476.9855637710311,,,,11041744.948351584,21392480.20511986,2021-06-15T00:00:00+00:00,228835002.22733805,DAI / ETH 0.05% fee,228835002.227338
STRONG-WETH 0.3%,"<a href=""https://info.uniswap.org/#/pools/0xd34e4855146ac0c6d0e4a652bd5fb54830f91ba8"" target=""_blank"">🔗🦄 0xd34e...1ba8</a>",1092581717.7299447,43.,0.0012871099299143,306.855546203294,1275.,2.361625967370323e-07,3277745.153189834,53.,0.0024707191404834,1068172.0417783502,5184.611638950769,,3277745.153189834,,,26408398.65823809,2021-06-16T00:00:00+00:00,255243400.88557613,DAI / ETH 0.05% fee,255243400.88557613
WBTC-renBTC 0.05%,"<a href=""https://info.uniswap.org/#/pools/0x3730ecd0aa7eb9b35a4e89b032bef80a1a41aa7f"" target=""_blank"">🔗🦄 0x3730...aa7f</a>",1078157084.7294593,44.,0.0012701170697291,156903.351680116,221.,0.0001207561780388,539078.5423647296,212.,0.0004063499785968,343.5736308958949,1.6676113733643834,539078.5423647296,,,,35605150.24525798,2021-06-17T00:00:00+00:00,290848551.1308341,DAI / ETH 0.05% fee,290848551.1308341
SPELL-WETH 0.3%,"<a href=""https://info.uniswap.org/#/pools/0xfebf38b1d34818d4827034f97b7d6d77c79d4997"" target=""_blank"">🔗🦄 0xfebf...4997</a>",1046199890.1725092,45.,0.0012324700710845,95379.9884588062,275.,7.340648076882646e-05,3138599.670517528,55.,0.0023658331925885,3290.627018552285,15.971793374622129,,3138599.670517528,,,48402310.284521244,2021-06-18T00:00:00+00:00,339250861.4153553,DAI / ETH 0.05% fee,339250861.4153553
APE-WETH 1%,"<a href=""https://info.uniswap.org/#/pools/0xf79fc43494ce8a4613cb0b2a67a1b1207fd05d27"" target=""_blank"">🔗🦄 0xf79f...5d27</a>",1041127849.488042,46.,0.0012264949812364,195434.2169237197,198.,0.0001504103567005,10411278.49488042,20.,0.007847878298034,5327.254694066221,25.85702078901823,,,,10411278.49488042,21432381.368182447,2021-06-19T00:00:00+00:00,360683242.7835378,DAI / ETH 0.05% fee,360683242.7835378
QNT-WETH 0.3%,"<a href=""https://info.uniswap.org/#/pools/0x24ee2c6b9597f035088cda8575e9d5e15a84b9df"" target=""_blank"">🔗🦄 0x24ee...b9df</a>",1028767903.7540896,47.,0.0012119344146177,2825805.34720242,34.,0.0021748002828229,3086303.7112622685,57.,0.0023264132189593,109.2185530159657,0.530116646952493,,3086303.7112622685,,,26921731.239129294,2021-06-20T00:00:00+00:00,387604974.0226671,DAI / ETH 0.05% fee,387604974.0226671
agEUR-USDC 0.01%,"<a href=""https://info.uniswap.org/#/pools/0x735a26a57a0a0069dfabd41595a970faf5e1ee8b"" target=""_blank"">🔗🦄 0x735a...ee8b</a>",1017946220.816004,48.,0.0011991859900907,8211434.12582723,19.,0.0063196954726237,101794.6220816004,488.,7.673138374730875e-05,1.2396692285629884,0.0060170115482113,,,101794.6220816004,101794.6220816004,93444504.0495928,2021-06-21T00:00:00+00:00,481049478.0722599,DAI / ETH 0.05% fee,481049478.0722599
WBTC-USDT 0.3%,"<a href=""https://info.uniswap.org/#/pools/0x9db9e0e53058c89e5b94e29621a205198648425b"" target=""_blank"">🔗🦄 0x9db9...425b</a>",954340011.8430474,49.,0.0011242550427348,2052346.50195364,40.,0.00157952979929,2863020.0355291422,61.,0.0021581050602684,139.49983751787613,0.6770936262503296,,2863020.0355291422,,,43802503.07269427,2021-06-22T00:00:00+00:00,524851981.1449541,DAI / ETH 0.05% fee,524851981.1449541
