daily_volume,time,total_volume,Pool-Name,running_total_by_pool
375389.531192346,2022-05-02T00:00:00+00:00,460056168.55941147,USDC / ETH 1% fee,460056168.55941147
210038.8168806896,2022-05-03T00:00:00+00:00,460266207.37629217,USDC / ETH 1% fee,460266207.37629217
607574.2914155119,2022-05-04T00:00:00+00:00,460873781.6677077,USDC / ETH 1% fee,460873781.6677077
771156.3636245833,2022-05-05T00:00:00+00:00,461644938.03133225,USDC / ETH 1% fee,461644938.03133225
260542.8278672124,2022-05-06T00:00:00+00:00,461905480.85919946,USDC / ETH 1% fee,461905480.85919946
244038.89058623032,2022-05-07T00:00:00+00:00,462149519.7497857,USDC / ETH 1% fee,462149519.7497857
283776.2303927856,2022-05-08T00:00:00+00:00,462433295.9801785,USDC / ETH 1% fee,462433295.9801785
3863566.05978981,2022-05-09T00:00:00+00:00,466296862.0399683,USDC / ETH 1% fee,466296862.0399683
4306311.969944577,2022-05-10T00:00:00+00:00,470603174.0099129,USDC / ETH 1% fee,470603174.0099129
8726177.518364651,2022-05-11T00:00:00+00:00,479329351.5282775,USDC / ETH 1% fee,479329351.5282775
339543.4305209995,2022-05-12T00:00:00+00:00,479668894.9587985,USDC / ETH 1% fee,479668894.9587985
157698.32737054187,2022-05-13T00:00:00+00:00,479826593.28616905,USDC / ETH 1% fee,479826593.28616905
143495.6878538136,2022-05-14T00:00:00+00:00,479970088.97402287,USDC / ETH 1% fee,479970088.97402287
198248.2291763397,2022-05-15T00:00:00+00:00,480168337.2031992,USDC / ETH 1% fee,480168337.2031992
247494.9955977029,2022-05-16T00:00:00+00:00,480415832.1987969,USDC / ETH 1% fee,480415832.1987969
423444.0967337654,2022-05-17T00:00:00+00:00,480839276.2955307,USDC / ETH 1% fee,480839276.2955307
336785.0663383596,2022-05-18T00:00:00+00:00,481176061.361869,USDC / ETH 1% fee,481176061.36186904
254387.97076776644,2022-05-19T00:00:00+00:00,481430449.3326368,USDC / ETH 1% fee,481430449.33263683
326127.7392538258,2022-05-20T00:00:00+00:00,481756577.07189065,USDC / ETH 1% fee,481756577.07189065
13893.47839827613,2022-05-21T00:00:00+00:00,481770470.5502889,USDC / ETH 1% fee,481770470.5502889
159589.46964422456,2022-05-22T00:00:00+00:00,481930060.0199332,USDC / ETH 1% fee,481930060.01993316
284053.5822030844,2022-05-23T00:00:00+00:00,482214113.60213625,USDC / ETH 1% fee,482214113.60213625
165105.82321918174,2022-05-24T00:00:00+00:00,482379219.4253554,USDC / ETH 1% fee,482379219.42535543
176530.11405406488,2022-05-25T00:00:00+00:00,482555749.5394095,USDC / ETH 1% fee,482555749.53940946
417731.1460474892,2022-05-26T00:00:00+00:00,482973480.685457,USDC / ETH 1% fee,482973480.685457
335084.0751201242,2022-05-27T00:00:00+00:00,483308564.7605771,USDC / ETH 1% fee,483308564.7605771
45796.744938230775,2022-05-28T00:00:00+00:00,483354361.50551534,USDC / ETH 1% fee,483354361.50551534
28594.5382168768,2022-05-29T00:00:00+00:00,483382956.0437322,USDC / ETH 1% fee,483382956.0437322
528758.587925489,2022-05-30T00:00:00+00:00,483911714.6316577,USDC / ETH 1% fee,483911714.63165766
170173.3986843885,2022-05-31T00:00:00+00:00,484081888.0303421,USDC / ETH 1% fee,484081888.0303421
465541.5282682625,2022-06-01T00:00:00+00:00,484547429.5586103,USDC / ETH 1% fee,484547429.5586103
104281.70349748291,2022-06-02T00:00:00+00:00,484651711.2621079,USDC / ETH 1% fee,484651711.26210785
126555.88016230524,2022-06-03T00:00:00+00:00,484778267.14227015,USDC / ETH 1% fee,484778267.14227015
4408967.294178579,2022-06-04T00:00:00+00:00,489187234.4364487,USDC / ETH 1% fee,489187234.4364487
710638.6379408449,2022-06-05T00:00:00+00:00,489897873.0743896,USDC / ETH 1% fee,489897873.0743896
616188.1084435034,2022-06-06T00:00:00+00:00,490514061.1828331,USDC / ETH 1% fee,490514061.1828331
4259277.682591641,2022-06-07T00:00:00+00:00,494773338.8654247,USDC / ETH 1% fee,494773338.8654247
2135123.1219990305,2022-06-08T00:00:00+00:00,496908461.9874237,USDC / ETH 1% fee,496908461.9874237
799273.9493784907,2022-06-09T00:00:00+00:00,497707735.9368022,USDC / ETH 1% fee,497707735.9368022
569939.5776547588,2022-06-10T00:00:00+00:00,498277675.514457,USDC / ETH 1% fee,498277675.514457
373228.9928410469,2022-06-11T00:00:00+00:00,498650904.50729805,USDC / ETH 1% fee,498650904.50729805
616099.6801767703,2022-06-12T00:00:00+00:00,499267004.1874748,USDC / ETH 1% fee,499267004.1874748
3798201.401318437,2022-06-13T00:00:00+00:00,503065205.5887932,USDC / ETH 1% fee,503065205.5887932
3647749.363984733,2022-06-14T00:00:00+00:00,506712954.952778,USDC / ETH 1% fee,506712954.952778
5894041.342006639,2022-06-15T00:00:00+00:00,512606996.2947846,USDC / ETH 1% fee,512606996.2947846
5999188.697649333,2022-06-16T00:00:00+00:00,518606184.992434,USDC / ETH 1% fee,518606184.99243397
2446852.723012268,2022-06-17T00:00:00+00:00,521053037.71544623,USDC / ETH 1% fee,521053037.71544623
5960735.909555955,2022-06-18T00:00:00+00:00,527013773.62500215,USDC / ETH 1% fee,527013773.62500215
5114632.628420571,2022-06-19T00:00:00+00:00,532128406.25342274,USDC / ETH 1% fee,532128406.25342274
4979469.197790456,2022-06-20T00:00:00+00:00,537107875.4512132,USDC / ETH 1% fee,537107875.4512132
2503768.780243725,2022-06-21T00:00:00+00:00,539611644.2314569,USDC / ETH 1% fee,539611644.2314569
3068616.339324257,2022-06-22T00:00:00+00:00,542680260.5707811,USDC / ETH 1% fee,542680260.5707811
2577501.858089894,2022-06-23T00:00:00+00:00,545257762.428871,USDC / ETH 1% fee,545257762.428871
2242933.155516505,2022-06-24T00:00:00+00:00,547500695.5843875,USDC / ETH 1% fee,547500695.5843875
1676390.951767167,2022-06-25T00:00:00+00:00,549177086.5361547,USDC / ETH 1% fee,549177086.5361547
1497481.0968072813,2022-06-26T00:00:00+00:00,550674567.632962,USDC / ETH 1% fee,550674567.632962
1058824.169397578,2022-06-27T00:00:00+00:00,551733391.8023596,USDC / ETH 1% fee,551733391.8023596
2157239.579545197,2022-06-28T00:00:00+00:00,553890631.3819048,USDC / ETH 1% fee,553890631.3819048
1608142.0898618917,2022-06-29T00:00:00+00:00,555498773.4717667,USDC / ETH 1% fee,555498773.4717667
2782522.725794821,2022-06-30T00:00:00+00:00,558281296.1975615,USDC / ETH 1% fee,558281296.1975615
2564186.7917628945,2022-07-01T00:00:00+00:00,560845482.9893245,USDC / ETH 1% fee,560845482.9893245
746656.2310535948,2022-07-02T00:00:00+00:00,561592139.220378,USDC / ETH 1% fee,561592139.220378
1112458.0988640946,2022-07-03T00:00:00+00:00,562704597.3192421,USDC / ETH 1% fee,562704597.3192421
1794623.8077370406,2022-07-04T00:00:00+00:00,564499221.1269791,USDC / ETH 1% fee,564499221.1269791
2538814.834006294,2022-07-05T00:00:00+00:00,567038035.9609854,USDC / ETH 1% fee,567038035.9609854
1938283.7251595568,2022-07-06T00:00:00+00:00,568976319.686145,USDC / ETH 1% fee,568976319.686145
1142374.5243741395,2022-07-07T00:00:00+00:00,570118694.2105191,USDC / ETH 1% fee,570118694.2105191
1888220.5743384487,2022-07-08T00:00:00+00:00,572006914.7848575,USDC / ETH 1% fee,572006914.7848575
147616.68240334056,2022-07-09T00:00:00+00:00,572154531.467261,USDC / ETH 1% fee,572154531.467261
904028.6968532116,2022-07-10T00:00:00+00:00,573058560.1641141,USDC / ETH 1% fee,573058560.1641141
1257650.3638654032,2022-07-11T00:00:00+00:00,574316210.5279795,USDC / ETH 1% fee,574316210.5279795
1040658.7436897166,2022-07-12T00:00:00+00:00,575356869.2716693,USDC / ETH 1% fee,575356869.2716693
